procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 4038976 117360 5070268    0    0     0   286 4531 2621 76  3 21  0  0  0
 3  0 932096 4037244 117360 5070264    0    0     0     0 5775 6398 79  5 16  0  0  0
 3  0 932096 4038692 117368 5070264    0    0     0    36 6082 5413 78  5 18  0  0  0
 4  0 932096 4039032 117376 5070288    0    0     0    24 4315 2305 76  3 21  0  0  0
 3  0 932096 4041004 117392 5070280    0    0     0    66 4404 2467 77  4 19  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 4038836 117392 5070284    0    0     0     8 4515 2446 76  2 22  0  0  0
 3  0 932096 4038204 117400 5070304    0    0     0    66 4537 3794 78  3 19  0  0  0
 3  0 932096 4038724 117416 5070300    0    0     0    32 4477 2896 76  3 20  0  0  0
 3  0 932096 4038676 117416 5070296    0    0     0     0 4380 2889 77  2 20  0  0  0
10  1 932096 4035468 117416 5071324   16    0    16    12 4907 4570 79  5 17  0  0  0
 3  0 932096 4036108 117432 5070312    0    0     0    38 4971 4609 78  3 18  0  0  0
 3  0 932096 4037444 117448 5070308    0    0     0   154 4421 3232 77  2 21  0  0  0
 4  0 932096 4036276 117448 5070276    0    0     0     0 4278 2309 76  3 21  0  0  0
 3  0 932096 4036492 117448 5070280    0    0     0     0 3892 1660 75  1 23  0  0  0
 3  0 932096 4037484 117456 5070408    0    0     0    20 4309 2336 76  3 21  0  0  0
 3  0 932096 4035980 117464 5070464    0    0     0    26 4670 2957 76  3 21  0  0  0
 3  0 932096 4036984 117484 5070464    0    0     4    32 4351 2478 76  3 22  0  0  0
 3  0 932096 4036044 117492 5070456   14    0    14    26 4208 2015 76  2 23  0  0  0
 3  0 932096 4035972 117508 5070456    0    0     0   242 4381 2171 76  2 21  0  0  0
 3  0 932096 4037172 117508 5070476    0    0     0     4 5282 4027 78  4 18  0  0  0
 3  0 932096 4037196 117508 5070512    0    0     0     0 6080 5479 79  6 15  0  0  0
 3  0 932096 4034520 117516 5070528    0    0     0    40 4673 2940 77  4 19  0  0  0
 3  0 932096 4035836 117532 5070516    0    0     0    32 4516 2791 76  2 22  0  0  0
 4  0 932096 4038896 117532 5070524    0    0     0     0 4355 2477 75  2 22  0  0  0
 8  0 932096 4036400 117532 5070524    0    0     0     0 3912 1813 75  2 23  0  0  0
 4  0 932096 4041280 117548 5070564    0    0     0    30 4634 3373 77  4 19  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1 932096 4039140 117564 5070568    0    0     4    50 5195 4997 79  3 18  0  0  0
 3  0 932096 4040632 117564 5070580    0    0     0    10 5569 5174 77  6 18  0  0  0
 3  0 932096 4041400 117564 5070580    0    0     0     0 4448 2377 76  2 22  0  0  0
 4  0 932096 4037724 117572 5070592    0    0     0    70 5202 4188 81  7 12  0  0  0
 7  0 932096 4048804 117572 5070604    0    0     0     0 4753 3637 77  3 19  0  0  0
 5  0 932096 4049248 117572 5070608    0    0     0     0 4165 2134 76  2 23  0  0  0
 7  0 932096 4040344 117580 5075148    0    0   111    20 4298 2842 76  2 21  0  0  0
 3  0 932096 4042196 117588 5071064    0    0     0    20 4957 4316 78  4 18  0  0  0
